Record ID#,English Name,Official Name,Operator (primary),Operator (additional),Type,Seasonality,Status,Year Established,Antarctic Region,Latitude (DD),Longitude (DD),Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified
4,Belgrano II Antartic Base,Base Antártica Belgrano II,Argentina,,Station,Year-Round,Open,1979,,-77.873889,-34.627778,77° 52.4333' S,34° 37.6667' W,256.5,MSL,,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r4/e56/v0/Base_Belgrano.jpg,,8/31/2022 19:03
5,Brown Antartic Base,Base Antártica Brown,Argentina,,Station,Seasonal,Temporarily Closed,1951,,-64.89537,-62.870452,64° 53.7222' S,62° 52.2271' W,22,MSL,12,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r5/e56/v0/2202_Brown_02-1024x595.jpg,,8/31/2022 19:03
6,Cámara Antartic Base,Base Antártica Cámara,Argentina,,Station,Seasonal,Open,1953,,-62.593858,-59.919344,62° 35.6315' S,59° 55.1606' W,22,MSL,22,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r6/e56/v0/C%C3%A1mara-Base.jpg,,8/31/2022 19:04
9,Carlini Antartic Base,Base Antártica Carlini,Argentina,,Station,Year-Round,Open,1953,,-62.2379,-58.666842,62° 14.274' S,58° 40.0105' W,10,MSL,80,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r9/e56/v0/cav2016_carlini.jpg,,8/31/2022 19:04
7,Decepcion Antartic Base,Base Antártica Decepción,Argentina,,Station,Seasonal,Open,1948,,-62.97676,-60.700695,62° 58.6056' S,60° 42.0417' W,7,MSL,36,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r7/e56/v0/Decepci%BEn_beach_20-01-16.jpg,,8/31/2022 19:04
8,Esperanza Antartic Base,Base Antártica Esperanza,Argentina,,Station,Year-Round,Open,1952,,-63.396959,-56.998054,63° 23.8175' S,56° 59.8832' W,25,MSL,90,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r8/e56/v0/antartida_base_esperanza_12.jpg,,8/31/2022 19:05
10,Marambio Antartic Base,Base Antártica Marambio,Argentina,,Station,Year-Round,Open,1969,,-64.241769,-56.623225,64° 14.5061' S,56° 37.3935' W,209.5,MSL,165,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r10/e56/v0/BASE-MARAMBIO-H%C3%89RCULES-C-130-Copy.jpg,,8/31/2022 19:05
11,Matienzo Antartic Base,Base Antártica Matienzo,Argentina,,Station,Seasonal,Open,1961,,-64.975865,-60.070948,64° 58.5519' S,60° 4.2569' W,32,MSL,12,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r11/e56/v0/matienzooverflight.jpg,,8/31/2022 19:06
12,Melchior Antartic Base,Base Antártica Melchior,Argentina,,Station,Seasonal,Temporarily Closed,1947,,-64.325705,-62.976329,64° 19.5423' S,62° 58.5797' W,4,MSL,15,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r12/e56/v0/Base%20Melchior.jpg,,8/31/2022 19:06
13,Orcadas Antartic Base,Base Orcadas,Argentina,,Station,Year-Round,Open,1904,,-60.737592,-44.737387,60° 44.2555' S,44° 44.2432' W,8,MSL,65,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r13/e56/v0/Orcadas.jpg,,8/31/2022 19:07
14,Petrel Antartic Base,Base Antártica Petrel,Argentina,,Station,Year-Round,Open,1952,,-63.478303,-56.230993,63° 28.6982' S,56° 13.8596' W,18,MSL,45,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r14/e56/v0/petrel2013.jpg,,8/31/2022 19:12
15,Primavera Antartic Base,Base Antártica Primavera,Argentina,,Station,Seasonal,Open,1977,,-64.155854,-60.954256,64° 9.3512' S,60° 57.2554' W,50,MSL,18,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r15/e56/v0/primavera.jpg,,8/31/2022 19:08
16,San Martin Antartic Base,Base Antártica San Martín,Argentina,,Station,Year-Round,Open,1951,,-68.1303,-67.102931,68° 7.818' S,67° 6.1759' W,5,MSL,21,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r16/e56/v0/San%20Martin.jpg,,8/31/2022 19:09
19,Casey,Casey Station,Australia,,Station,Year-Round,Open,1969,,-66.282343,110.526792,66° 16.9406' S,110° 31.6075' E,32,MSL,120,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r19/e56/v0/Casey%20from%20air%20006.jpg,http://www.antarctica.gov.au/webcams/casey,8/30/2023 19:19
20,Davis,Davis Station,Australia,,Station,Year-Round,Open,1957,,-68.575938,77.969516,68° 34.5563' S,77° 58.171' E,27,MSL,91,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r20/e56/v0/Davis%20Aerial%202014005.jpg,http://www.antarctica.gov.au/webcams/davis,8/30/2023 19:22
17,Edgeworth David,Edgeworth David Camp,Australia,,Camp,Seasonal,Open,,,-66.249935,100.604213,66° 14.9961' S,100° 36.2528' E,15,MSL,,,https://comnap.quickbase.com/up/bibrbwkpg/a/r17/e56/v0/Bunger%20Crosswind%20Strip.png,,8/30/2023 19:27
22,Law,Law Station,Australia,,Refuge,Seasonal,Open,,,-69.388296,76.380696,69° 23.2978' S,76° 22.8418' E,,MSL,13,,https://comnap.quickbase.com/up/bibrbwkpg/a/r22/e56/v0/Law%20Base.png,,8/15/2022 20:45
120,Macquarie Island,Macquarie Island,Australia,,Station,Year-Round,Open,1948,,-54.499392,158.936794,54° 29.9635' S,158° 56.2076' E,0,,,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r120/e56/v0/Macca%202.tif,,8/30/2023 19:32
21,Mawson,Mawson Station,Australia,,Station,Year-Round,Open,1954,,-67.602644,62.873028,67° 36.1586' S,62° 52.3817' E,15,MSL,53,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r21/e56/v0/MawsonAirCasa_20050203.jpg,http://www.antarctica.gov.au/webcams/mawson,8/30/2023 19:28
18,Wilkins Aerodrome,Wilkins Aerodrome,Australia,,Airfield Camp,Seasonal,Open,2003,,-66.687416,111.48715,66° 41.245' S,111° 29.229' E,734.7,MSL,12,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r18/e56/v0/Wilkins%20Camp%20-%20Laydown%20Area%20%26%20Apron.jpg,,8/30/2023 19:31
23,Princess Elisabeth Antarctica,Princess Elisabeth Antarctica,Belgium,Belgium,Station,Seasonal,Open,2008,,-71.949858,23.346891,71° 56.9915' S,23° 20.8135' E,"1,382",MSL,50,Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r23/e56/v0/PEA%2020210210%20ldef.jpg,,11/14/2023 20:57
242, Goeldi, Emilio Goeldi,Brazil,,Refuge,Seasonal,Open,1988,,-61.133333,-55.35,61° 8' S,55° 21' W,,,,,,,11/13/2020 11:27
24,Comandante Ferraz,Estacao Antartica Comandante Ferraz ,Brazil,,Station,Year-Round,Open,1984,Antarctic Peninsula,-62.085472,-58.398722,62° 5.1283' S,58° 23.9233' W,3,Other,64,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r24/e56/v0/EACF%20frente%201.jpg,,3/19/2021 10:53
238,Criosfera 1,Criosfera 1,Brazil,,Laboratory,Seasonal,Open,2012,West Antarctica,-84,-79.5,84° 0' S,79° 30' W,"1,200",,8,,,,3/26/2023 15:52
243,Criosfera 2,Criosfera 2,Brazil,,Laboratory,Seasonal,Open,,,-79.696667,78.676667,79° 41.8' S,78° 40.6' E,,,,,,,4/3/2023 6:53
240,Cruls,Astrônomo Cruls,Brazil,,Refuge,Seasonal,Open,,,-62.25,-58.98,62° 15' S,58° 58.8' W,,,,,,,11/13/2020 7:31
25,St. Kliment Ohridski ,St. Kliment Ohridski Base,Bulgaria,,Station,Seasonal,Open,1988,Antarctic Peninsula,-62.64072307,-60.36523384,62° 38.4434' S,60° 21.914' W,15,MSL,22,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r25/e56/v0/Bulgarian%20Antarctic%20Base%20(4)_Christo%20Pimpirev_27.01.2011.JPG,,6/25/2023 22:58
28,Arturo Prat Antarctic Naval Base,Base Naval Antártica Arturo Prat,Chile,,Station,Year-Round,Open,1947,Antarctic Peninsula,-62.478717,-59.663603,62° 28.723' S,59° 39.8162' W,3,MSL,32,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r28/e56/v0/Base%20Prat.jpg,,3/19/2021 12:32
229,Bahía Fildes Maritime Station,Estación Marítima Bahía Fildes,Chile,,Station,Year-Round,Open,,,-62.201522,-58.96115,62° 12.0913' S,58° 57.669' W,,,,,https://comnap.quickbase.com/up/bibrbwkpg/a/r229/e56/v0/Bah%C3%ADa%20Fildes%20Maritime%20Station.jpg,,3/19/2021 12:49
102,Carvajal,Lieutenant Luis Carvajal Villarroel (SCTJ),Chile,,Station,Seasonal,Temporarily Closed,1985,Antarctic Peninsula,-67.761322,-68.914815,67° 45.6793' S,68° 54.8889' W,92,MSL,46,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r102/e56/v0/carvajal%2002_Instituto%20Ant%E1rtico%20Chileno.JPG,,3/19/2021 12:30
32,Dr. Guillermo Mann,Base Dr. Guillermo Mann,Chile,,Refuge,Seasonal,Open,1991,Antarctic Peninsula,-62.47015,-60.771178,62° 28.209' S,60° 46.2707' W,15,MSL,6,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r32/e56/v0/SAM_0528.JPG,,10/19/2023 13:16
225,Estacion Polar Cientifica Conjunta Glaciar Union,Estación Polar Científica Conjunta Glaciar Unión (EPCCGU),Chile,,Camp,Seasonal,Open,,West Antarctica,-79.766667,-82.916667,79° 46' S,82° 55' W,680,MSL,,,https://comnap.quickbase.com/up/bibrbwkpg/a/r225/e56/v0/Union%20Glacier_Instituto%20Ant%E1rtico%20Chileno.jpg,,3/19/2021 12:52
34,Gabriel Gonzalez Videla,Base Antártica Presidente Gabriel González Videla,Chile,,Station,Seasonal,Open,1951,,-64.823862,-62.857499,64° 49.4317' S,62° 51.4499' W,6,MSL,15,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r34/e56/v0/base-ggv.jpg,,9/25/2023 13:03
